GRUPO;CONSULTA_PORTAL;TIPO_CONSULTA;FILTRO;CAMPO_PORTAL;MIGALHA;PERMITE_SELECAO;PERMITE_CLIQUE;POSSUI_TOOLTIP;TOOLTIP_DESCRICAO_PORTAL;OBSERVACAO;CAMPO_DERIVADO;ORIGEM_DADOS;CAMPO_ORIGEM_DADOS;DIMENSAO_ORIGEM_DADOS;TOOLTIP_ORIGEM_DADOS
Transferência de Impostos;Transferência de Impostos a Municípios;Pesquisa Básica;;Ano;Página Principal / Transferência de Impostos a Municípios;sim;não;não;-;CAMPO NÃO LOCALIZADO NO ARMAZÉM SIAFI - DADO INFORMADO PELA SEF;;;;;
Transferência de Impostos;Transferência de Impostos a Municípios;Pesquisa Básica;;Início/Fim;Página Principal / Transferência de Impostos a Municípios;sim;não;não;-;CAMPO NÃO LOCALIZADO NO ARMAZÉM SIAFI - DADO INFORMADO PELA SEF;;;;;
Transferência de Impostos;Transferência de Impostos a Municípios;Pesquisa Básica;;Nome do Município;Página Principal / Transferência de Impostos a Municípios;não;não;não;-;CAMPO NÃO LOCALIZADO NO ARMAZÉM SIAFI - DADO INFORMADO PELA SEF;;;;;
Transferência de Impostos;Transferência de Impostos a Municípios;Pesquisa Básica;;Valor ICMS;Página Principal / Transferência de Impostos a Municípios;não;não;não;-;CAMPO NÃO LOCALIZADO NO ARMAZÉM SIAFI - DADO INFORMADO PELA SEF;;;;;
Transferência de Impostos;Transferência de Impostos a Municípios;Pesquisa Básica;;Valor IPI;Página Principal / Transferência de Impostos a Municípios;não;não;não;-;CAMPO NÃO LOCALIZADO NO ARMAZÉM SIAFI - DADO INFORMADO PELA SEF;;;;;
Transferência de Impostos;Transferência de Impostos a Municípios;Pesquisa Básica;;Valor IPVA;Página Principal / Transferência de Impostos a Municípios;não;não;não;-;CAMPO NÃO LOCALIZADO NO ARMAZÉM SIAFI - DADO INFORMADO PELA SEF;;;;;
Transferência de Impostos;Transferência de Impostos a Municípios;Pesquisa Básica;;Valor Total;Página Principal / Transferência de Impostos a Municípios;não;não;não;-;CAMPO NÃO LOCALIZADO NO ARMAZÉM SIAFI - DADO INFORMADO PELA SEF;;;;;
