GRUPO;CONSULTA_PORTAL;TIPO_CONSULTA;FILTRO;CAMPO_PORTAL;MIGALHA;PERMITE_SELECAO;PERMITE_CLIQUE;POSSUI_TOOLTIP;TOOLTIP_DESCRICAO_PORTAL;OBSERVACAO;CAMPO_DERIVADO;ORIGEM_DADOS;CAMPO_ORIGEM_DADOS;DIMENSAO_ORIGEM_DADOS;TOOLTIP_ORIGEM_DADOS
Planejamento e Resultados;Obras Orçadas;Pesquisa Avançada;checkbox;Ano;Obras Orçadas / Pesquisa Avançada;sim;não;não;;;;;;;
Planejamento e Resultados;Obras Orçadas;Pesquisa Avançada;checkbox;Órgão;Obras Orçadas / Pesquisa Avançada;sim;não;não;;;;;;;
Planejamento e Resultados;Obras Orçadas;Pesquisa Avançada;checkbox;Territorio de Planejamento;Obras Orçadas / Pesquisa Avançada;sim;não;não;;;;;;;
Planejamento e Resultados;Obras Orçadas;Pesquisa Avançada;checkbox;Município da Obra;Obras Orçadas / Pesquisa Avançada;sim;não;não;;;;;;;
Planejamento e Resultados;Obras Orçadas;Pesquisa Avançada;checkbox;Situação Atual da Obra;Obras Orçadas / Pesquisa Avançada;sim;não;não;;;;;;;
Planejamento e Resultados;Obras Orçadas;Pesquisa Avançada;Tabela de Resultados;Órgão;Obras Orçadas / Pesquisa Avançada;não;não;sim;Nome da unidade orçamentária na qual a obra está orçada.;;;;;;
Planejamento e Resultados;Obras Orçadas;Pesquisa Avançada;Tabela de Resultados;Valor Tesouro;Obras Orçadas / Pesquisa Avançada;não;não;sim;Valor monetário previsto na Lei Orçamentária para a obra no ano escolhido, referente aos recursos ordinários (tesouro), passíveis de livre programação. Ex.: impostos.;;;;;;
Planejamento e Resultados;Obras Orçadas;Pesquisa Avançada;Tabela de Resultados;Valor Outras Fontes;Obras Orçadas / Pesquisa Avançada;não;não;sim;Valor monetário previsto na Lei Orçamentária para a obra no ano escolhido, referente aos recursos arrecadados que possuem vinculação específica a uma despesa. Ex.: convênios e taxas.;;;;;;
Planejamento e Resultados;Obras Orçadas;Pesquisa Avançada;Tabela de Resultados;Territorio de Planejamento;Obras Orçadas / Pesquisa Avançada;não;não;sim;Regiões formadas por um conjunto de municípios, de acordo com a divisão adotada pelo Governo de Minas Gerais.;;;;;;
Planejamento e Resultados;Obras Orçadas;Pesquisa Avançada;Tabela de Resultados;Município da Obra;Obras Orçadas / Pesquisa Avançada;não;não;sim;Nome da cidade na qual a obra será ou está sendo realizada.;;;;;;
Planejamento e Resultados;Obras Orçadas;Pesquisa Avançada;Tabela de Resultados;Discriminação da Obra;Obras Orçadas / Pesquisa Avançada;não;não;sim;Descrição sucinta da obra na Lei Orçamentária no ano escolhido.;;;;;;
Planejamento e Resultados;Obras Orçadas;Pesquisa Avançada;Tabela de Resultados;Meta Física – Quantidade;Obras Orçadas / Pesquisa Avançada;não;não;sim; Quantidade do produto que será ofertado para a sociedade.;;;;;;
Planejamento e Resultados;Obras Orçadas;Pesquisa Avançada;Tabela de Resultados;Meta Física - Unidade de Medida;Obras Orçadas / Pesquisa Avançada;não;não;sim;Padrão selecionado para mensurar a obra. Elemento que dá significado ao valor numérico estampado como meta física.;;;;;;
Planejamento e Resultados;Obras Orçadas;Pesquisa Avançada;Tabela de Resultados;Situação Atual da Obra;Obras Orçadas / Pesquisa Avançada;não;não;sim;Estágio em que a obra se encontra no momento de elaboração da Lei Orçamentária. Exemplo: iniciado, em execução ou paralisado.;;;;;;
