GRUPO;CONSULTA_PORTAL;TIPO_CONSULTA;FILTRO;CAMPO_PORTAL;MIGALHA;PERMITE_SELECAO;PERMITE_CLIQUE;POSSUI_TOOLTIP;TOOLTIP_DESCRICAO_PORTAL;OBSERVACAO;CAMPO_DERIVADO;ORIGEM_DADOS;CAMPO_ORIGEM_DADOS;DIMENSAO_ORIGEM_DADOS;TOOLTIP_ORIGEM_DADOS
Planejamento e Resultados;Obras Orçadas;Pesquisa Básica;;ano;Obras Orçadas;sim;não;não;;;;;;;
Planejamento e Resultados;Obras Orçadas;Pesquisa Básica;;Órgão;Obras Orçadas / órgão;não;sim;sim;Nome da unidade orçamentária na qual a obra está orçada.;;;;;;
Planejamento e Resultados;Obras Orçadas;Pesquisa Básica;;Valor Tesouro;Obras Orçadas / órgão;não;não;sim;Valor monetário previsto na Lei Orçamentária para a obra no ano escolhido, referente aos recursos ordinários (tesouro), passíveis de livre programação. Ex.: impostos.;;;;;;
Planejamento e Resultados;Obras Orçadas;Pesquisa Básica;;Valor Outras Fontes;Obras Orçadas / órgão;não;não;sim;Valor monetário previsto na Lei Orçamentária para a obra no ano escolhido, referente aos recursos arrecadados que possuem vinculação específica a uma despesa. Ex.: convênios e taxas.;;;;;;
Planejamento e Resultados;Obras Orçadas;Pesquisa Básica;;Territorio de Planejamento;Obras Orçadas / órgão;não;não;sim;Regiões formadas por um conjunto de municípios, de acordo com a divisão adotada pelo Governo de Minas Gerais.;;;;;;
Planejamento e Resultados;Obras Orçadas;Pesquisa Básica;;Município da Obra;Obras Orçadas / órgão / Município;não;sim;sim;Nome da cidade na qual a obra será ou está sendo realizada.;;;;;;
Planejamento e Resultados;Obras Orçadas;Pesquisa Básica;;Discriminação da Obra;Obras Orçadas / órgão / Município;não;não;sim;Descrição sucinta da obra na Lei Orçamentária no ano escolhido.;;;;;;
Planejamento e Resultados;Obras Orçadas;Pesquisa Básica;;Meta Física – Quantidade;Obras Orçadas / órgão / Município;não;não;sim; Quantidade do produto que será ofertado para a sociedade.;;;;;;
Planejamento e Resultados;Obras Orçadas;Pesquisa Básica;;Meta Física - Unidade de Medida;Obras Orçadas / órgão / Município;não;não;sim;Padrão selecionado para mensurar a obra. Elemento que dá significado ao valor numérico estampado como meta física.;;;;;;
Planejamento e Resultados;Obras Orçadas;Pesquisa Básica;;Situação Atual da Obra;Obras Orçadas / órgão / Município;não;não;sim;Estágio em que a obra se encontra no momento de elaboração da Lei Orçamentária. Exemplo: iniciado, em execução ou paralisado.;;;;;;
