GRUPO;CONSULTA_PORTAL;TIPO_CONSULTA;FILTRO;CAMPO_PORTAL;MIGALHA;PERMITE_SELECAO;PERMITE_CLIQUE;POSSUI_TOOLTIP;TOOLTIP_DESCRICAO_PORTAL;OBSERVACAO;CAMPO_DERIVADO;ORIGEM_DADOS;CAMPO_ORIGEM_DADOS;DIMENSAO_ORIGEM_DADOS;TOOLTIP_ORIGEM_DADOS
Despesas;Mapa de Investimento;Pesquisa Básica;;Ano;;sim;não;não;;-;;Armazém SIAFI;Ano de Exercício;Período Contábil ;Ano de exercício do Orçamento Fiscal (Formato AAAA)
Despesas;Mapa de Investimento;Pesquisa Básica;;Início/Fim;;sim;não;não;;-;;Armazém SIAFI;Mês - Númerico;Período Contábil ;Mês numérico de registro do documento SIAFI (0 a 14)
Despesas;Mapa de Investimento;Pesquisa Básica;;Município;;não;não;sim;Município para onde foi destinado o investimento - compras de equipamentos, material permanente e realização de obras, diretamente pelo Estado ou por meio de repasses de recursos.;-;;Armazém SIAFI;Município - Descrição;Execução Orçamentária da Despesa >> Execução de Investimento Regionalizado >> Dados da Execução - Regionalizado;Município onde foi realizado o investimento
Despesas;Mapa de Investimento;Pesquisa Básica;;Órgão;;não;não;sim;Nome da unidade orçamentária que realizou a despesa de investimento.;-;;Armazém SIAFI;Unidade Orçamentária - Nome;Nome completo da Unidade Orçamentária;
Despesas;Mapa de Investimento;Pesquisa Básica;;Item de Despesa;;não;não;sim;Descrição do tipo de despesa de investimento realizada. Exemplos: execução de obras, equipamentos de informática, mobiliário, veículos, etc. ;-;;Armazém SIAFI;Elemento Item Despesa - Descrição;Execução Orçamentária da Despesa >> Execução de Investimento Regionalizado >> Natureza da Despesa - Regionalizado;Descrição do elemento item de despesa
Despesas;Mapa de Investimento;Pesquisa Básica;;Valor Investido;;não;não;sim;Valor em reais de despesa liquidada referente a investimento - compras de equipamentos, material permantente e realizações de obras diretamente pelo estado ou por meio de repasses de recursos.;-;;Armazém SIAFI;Valor Investido;Execução Orçamentária da Despesa >> Execução de Investimento Regionalizado;Valor, em reais, investido no município e/ou região, resultante da expressão: (Valor liquidado bruto - Valor anulado de saldo liquidado) - Valor anulado da despesa orçamentária
